,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,0.07,0.07,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.183,-0.183,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.494,-0.494,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.359,-0.359,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.171,-0.171,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.195,0.195,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.303,-0.303,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.447,0.447,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.469,-0.469,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.132,-0.132,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.236,-0.236,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.58,-0.58,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.735,-0.735,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.669,-0.669,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.34,-0.34,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.295,-0.295,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,3.266,3.266,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.884,-0.884,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-1.867,-1.867,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.71,-1.71,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,0.796,0.796,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-1.431,-1.431,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.15,-0.15,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.72,-0.72,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.681,0.681,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,5.138,5.138,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,10.69,10.69,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,10.581,10.581,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,7.194,7.194,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-7.572,-7.572,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,7.506,7.506,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,13.085,13.085,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,13.853,13.853,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,8.348,8.348,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-3.748,-3.748,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-10.273,-10.273,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-4.848,-4.848,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-0.633,-0.633,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,7.455,7.455,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AGO.BCA.us_dollars,Angola – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,5.149,5.149,AGO,BCA,us_dollars,Angola,Current account balance,U.S. dollars
