,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,0.001,0.001,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.01,-0.01,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.052,-0.052,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.037,-0.037,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.03,-0.03,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.027,-0.027,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.001,0.001,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.007,0.007,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.025,-0.025,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.075,-0.075,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.096,-0.096,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.165,-0.165,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.069,-0.069,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.024,0.024,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.087,-0.087,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.057,-0.057,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.253,-0.253,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.295,-0.295,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.178,-0.178,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.062,-0.062,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.246,-0.246,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.248,-0.248,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.443,-0.443,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.432,-0.432,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.42,-0.42,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.733,-0.733,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-0.592,-0.592,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-1.13,-1.13,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-2.031,-2.031,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.853,-1.853,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-1.351,-1.351,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ALB.BCA.us_dollars,Albania – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-1.666,-1.666,ALB,BCA,us_dollars,Albania,Current account balance,U.S. dollars
