,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-3.856,-3.856,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-7.643,-7.643,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-7.681,-7.681,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-5.648,-5.648,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-8.175,-8.175,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-8.478,-8.478,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-9.163,-9.163,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-7.223,-7.223,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-10.407,-10.407,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-18.534,-18.534,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-15.739,-15.739,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-10.668,-10.668,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),AUS.BCA.us_dollars,Australia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-10.388,-10.388,AUS,BCA,us_dollars,Australia,Current account balance,U.S. dollars
