,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.083,-0.083,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.067,-0.067,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.127,-0.127,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.133,-0.133,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.118,-0.118,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.041,-0.041,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.036,-0.036,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.095,-0.095,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.07,-0.07,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.011,-0.011,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.069,-0.069,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.033,-0.033,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.06,-0.06,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.028,-0.028,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.017,-0.017,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,0.01,0.01,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.04,-0.04,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.006,0.006,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.044,-0.044,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.039,-0.039,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.061,-0.061,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.031,-0.031,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BDI.BCA.us_dollars,Burundi – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.104,-0.104,BDI,BCA,us_dollars,Burundi,Current account balance,U.S. dollars
