,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-4.938,-4.938,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-4.186,-4.186,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-2.607,-2.607,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.497,-0.497,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.055,-0.055,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.675,0.675,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,3.069,3.069,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,2.801,2.801,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,3.599,3.599,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,3.604,3.604,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,3.637,3.637,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,4.763,4.763,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,6.664,6.664,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,11.251,11.251,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,12.6,12.6,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,15.391,15.391,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,13.836,13.836,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,13.842,13.842,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,13.255,13.255,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,20.07,20.07,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,9.393,9.393,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,7.896,7.896,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,11.622,11.622,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,10.806,10.806,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,11.434,11.434,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,7.701,7.701,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,7.554,7.554,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,7.044,7.044,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-5.203,-5.203,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,8.0,8.0,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,7.824,7.824,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-10.15,-10.15,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-0.404,-0.404,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,4.982,4.982,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,4.133,4.133,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,6.395,6.395,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,2.625,2.625,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,3.51,3.51,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-4.325,-4.325,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,1.862,1.862,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-3.801,-3.801,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,-5.343,-5.343,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,-9.291,-9.291,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,-8.959,-8.959,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-7.043,-7.043,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-4.917,-4.917,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA.us_dollars,Belgium – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,-3.14,-3.14,BEL,BCA,us_dollars,Belgium,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-3.999,-3.999,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-4.094,-4.094,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-2.898,-2.898,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-0.584,-0.584,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-0.067,-0.067,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEL.BCA_NGDPD.pcent_gdp,Belgium – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,0.799,0.799,BEL,BCA_NGDPD,pcent_gdp,Belgium,Current account balance,Percent of GDP
