,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.108,-0.108,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.264,-0.264,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.322,-0.322,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.159,-0.159,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.053,-0.053,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.041,-0.041,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.055,-0.055,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.037,-0.037,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.114,-0.114,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.015,-0.015,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.02,-0.02,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.235,-0.235,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.078,-0.078,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.06,-0.06,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.011,0.011,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.169,-0.169,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.041,-0.041,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.155,-0.155,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.133,-0.133,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BEN.BCA.us_dollars,Benin – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.156,-0.156,BEN,BCA,us_dollars,Benin,Current account balance,U.S. dollars
