,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.202,-0.202,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.468,-0.468,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.675,-0.675,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.531,-0.531,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.512,-0.512,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.685,-0.685,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.664,-0.664,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.538,-0.538,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.833,-0.833,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.217,-1.217,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-1.104,-1.104,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.646,-0.646,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.236,-0.236,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.129,-0.129,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.227,-0.227,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.616,-0.616,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.953,-0.953,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.831,-0.831,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.568,-0.568,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.35,-0.35,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.337,-0.337,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-1.018,-1.018,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,0.157,0.157,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.176,0.176,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.176,0.176,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.557,-0.557,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,0.572,0.572,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,0.957,0.957,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,0.278,0.278,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,2.086,2.086,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,3.24,3.24,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-2.227,-2.227,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BGD.BCA.us_dollars,Bangladesh – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-0.447,-0.447,BGD,BCA,us_dollars,Bangladesh,Current account balance,U.S. dollars
