,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.007,-0.007,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.279,-0.279,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.13,-0.13,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.101,-0.101,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.075,-0.075,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.296,-0.296,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.302,-0.302,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.401,-0.401,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.133,-0.133,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,0.033,0.033,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.196,-0.196,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.255,-0.255,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.406,-0.406,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.419,-0.419,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.238,-0.238,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.335,-0.335,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.333,-0.333,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.553,-0.553,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.667,-0.667,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.489,-0.489,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.446,-0.446,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.274,-0.274,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.35,-0.35,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.084,0.084,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.325,0.325,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,0.622,0.622,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,1.317,1.317,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,1.591,1.591,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,1.993,1.993,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BOL.BCA.us_dollars,Bolivia – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,0.814,0.814,BOL,BCA,us_dollars,Bolivia,Current account balance,U.S. dollars
