,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-12.807,-12.807,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-11.735,-11.735,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-16.311,-16.311,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-6.837,-6.837,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.04,0.04,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.228,-0.228,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-5.651,-5.651,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.435,-1.435,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,4.173,4.173,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,1.034,1.034,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-3.785,-3.785,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.405,-1.405,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,6.145,6.145,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.592,-0.592,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.681,-1.681,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-18.712,-18.712,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-23.843,-23.843,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-30.852,-30.852,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-33.892,-33.892,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-25.869,-25.869,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-24.794,-24.794,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-23.721,-23.721,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-8.097,-8.097,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,3.76,3.76,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,11.347,11.347,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,13.547,13.547,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,13.03,13.03,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,0.408,0.408,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-30.64,-30.64,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-26.261,-26.261,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-79.014,-79.014,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BRA.BCA.us_dollars,Brazil – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-76.288,-76.288,BRA,BCA,us_dollars,Brazil,Current account balance,U.S. dollars
