,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.151,-0.151,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.304,-0.304,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.145,-0.145,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.079,-0.079,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.059,-0.059,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.082,0.082,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.109,0.109,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.628,0.628,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,0.194,0.194,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,0.492,0.492,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.019,-0.019,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,0.303,0.303,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,0.198,0.198,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.427,0.427,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.222,0.222,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,0.3,0.3,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,0.495,0.495,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.721,0.721,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,0.17,0.17,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,0.583,0.583,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,0.545,0.545,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.678,0.678,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,0.286,0.286,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.683,0.683,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.351,0.351,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,1.634,1.634,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,1.957,1.957,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,1.652,1.652,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-0.12,-0.12,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-0.648,-0.648,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-0.356,-0.356,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,0.475,0.475,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,0.046,0.046,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,1.322,1.322,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,2.496,2.496,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,1.121,1.121,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,1.203,1.203,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,0.926,0.926,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,0.117,0.117,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-1.393,-1.393,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-1.646,-1.646,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,-0.837,-0.837,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,-0.67,-0.67,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,-0.146,-0.146,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,0.058,0.058,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,0.078,0.078,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA.us_dollars,Botswana – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,0.073,0.073,BWA,BCA,us_dollars,Botswana,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA_NGDPD.pcent_gdp,Botswana – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-12.85,-12.85,BWA,BCA_NGDPD,pcent_gdp,Botswana,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA_NGDPD.pcent_gdp,Botswana – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-29.265,-29.265,BWA,BCA_NGDPD,pcent_gdp,Botswana,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA_NGDPD.pcent_gdp,Botswana – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-13.21,-13.21,BWA,BCA_NGDPD,pcent_gdp,Botswana,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA_NGDPD.pcent_gdp,Botswana – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-6.527,-6.527,BWA,BCA_NGDPD,pcent_gdp,Botswana,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),BWA.BCA_NGDPD.pcent_gdp,Botswana – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-4.892,-4.892,BWA,BCA_NGDPD,pcent_gdp,Botswana,Current account balance,Percent of GDP
