,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.639,-0.639,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,2.651,2.651,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,3.849,3.849,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,0.943,0.943,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,6.272,6.272,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,6.226,6.226,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,4.956,4.956,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,6.903,6.903,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,9.388,9.388,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,8.555,8.555,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,8.249,8.249,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,11.629,11.629,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,13.696,13.696,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,17.991,17.991,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,17.477,17.477,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,17.833,17.833,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,18.826,18.826,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,25.566,25.566,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,23.868,23.868,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,26.495,26.495,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,30.862,30.862,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,20.859,20.859,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,23.347,23.347,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,42.238,42.238,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,55.243,55.243,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,52.534,52.534,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,60.318,60.318,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,47.198,47.198,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,13.819,13.819,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,39.761,39.761,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,87.926,87.926,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,57.219,57.219,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,75.152,75.152,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,81.27,81.27,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,59.621,59.621,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,72.085,72.085,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,62.603,62.603,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHE.BCA.us_dollars,Switzerland – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,50.769,50.769,CHE,BCA,us_dollars,Switzerland,Current account balance,U.S. dollars
