,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.971,-1.971,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-4.733,-4.733,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-2.304,-2.304,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-1.117,-1.117,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-2.111,-2.111,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.413,-1.413,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.191,-1.191,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.735,-0.735,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.231,-0.231,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.691,-0.691,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.484,-0.484,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.099,-0.099,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.958,-0.958,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-2.554,-2.554,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.585,-1.585,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.345,-1.345,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-3.094,-3.094,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-3.694,-3.694,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-3.971,-3.971,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,0.1,0.1,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.894,-0.894,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-1.147,-1.147,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.583,-0.583,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.15,-0.15,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,3.016,3.016,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,2.104,2.104,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,7.111,7.111,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,7.499,7.499,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-6.965,-6.965,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,3.313,3.313,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,3.151,3.151,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),CHL.BCA.us_dollars,Chile – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-6.914,-6.914,CHL,BCA,us_dollars,Chile,Current account balance,U.S. dollars
