,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.167,-0.167,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.461,-0.461,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.332,-0.332,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.401,-0.401,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.21,0.21,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.161,-0.161,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.601,-0.601,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.223,-0.223,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.445,-0.445,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.085,-0.085,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.251,-0.251,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.462,-0.462,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.317,-0.317,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.553,-0.553,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.793,-0.793,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.625,-0.625,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.651,-0.651,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.156,-0.156,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.241,-0.241,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.231,-0.231,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,0.633,0.633,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.037,-0.037,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,0.192,0.192,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.529,0.529,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.673,0.673,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,0.404,0.404,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,1.12,1.12,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-2.108,-2.108,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,0.869,0.869,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.37,-1.37,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,0.902,0.902,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,2.062,2.062,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,2.415,2.415,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,1.934,1.934,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,0.187,0.187,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-4.636,-4.636,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COG.BCA.us_dollars,Republic of Congo – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-4.945,-4.945,COG,BCA,us_dollars,Republic of Congo,Current account balance,U.S. dollars
