,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.015,-0.015,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-1.722,-1.722,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-2.885,-2.885,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-2.826,-2.826,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-2.088,-2.088,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.596,-1.596,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.535,0.535,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.021,-0.021,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.215,-0.215,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.201,-0.201,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,0.544,0.544,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,2.347,2.347,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,0.876,0.876,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-2.221,-2.221,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-3.672,-3.672,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-4.599,-4.599,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-4.642,-4.642,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),COL.BCA.us_dollars,Colombia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-5.751,-5.751,COL,BCA,us_dollars,Colombia,Current account balance,U.S. dollars
