,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.72,-0.72,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.389,-0.389,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.443,-0.443,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.418,-0.418,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.163,-0.163,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.108,-0.108,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.183,-0.183,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.364,-0.364,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.019,-0.019,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.327,-0.327,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.28,-0.28,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.157,-0.157,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.708,-0.708,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.533,-0.533,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.283,-0.283,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.183,-0.183,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.213,-0.213,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.163,-0.163,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.338,-0.338,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.429,-0.429,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.027,-1.027,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.741,-0.741,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DOM.BCA.us_dollars,Dominican Republic – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.798,-0.798,DOM,BCA,us_dollars,Dominican Republic,Current account balance,U.S. dollars
