,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,0.242,0.242,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.209,-0.209,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.436,-0.436,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.085,-0.085,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.074,0.074,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,1.015,1.015,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-2.23,-2.23,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.141,0.141,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-1.9,-1.9,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.033,-1.033,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,1.35,1.35,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,2.39,2.39,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,1.29,1.29,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.81,0.81,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),DZA.BCA.us_dollars,Algeria – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.839,-1.839,DZA,BCA,us_dollars,Algeria,Current account balance,U.S. dollars
