,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.642,-0.642,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.998,-0.998,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-1.182,-1.182,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.115,-0.115,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.273,-0.273,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.076,0.076,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.582,-0.582,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.187,-1.187,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.68,-0.68,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.715,-0.715,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.36,-0.36,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.708,-0.708,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.122,-0.122,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.849,-0.849,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.898,-0.898,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.0,-1.0,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.055,-0.055,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.457,-0.457,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-2.099,-2.099,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,0.918,0.918,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,1.113,1.113,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.551,-0.551,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.219,-1.219,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ECU.BCA.us_dollars,Ecuador – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.387,-0.387,ECU,BCA,us_dollars,Ecuador,Current account balance,U.S. dollars
