,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-5.3,-5.3,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-5.113,-5.113,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-4.704,-4.704,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-2.455,-2.455,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,2.086,2.086,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,2.088,2.088,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,3.677,3.677,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.037,-0.037,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-3.685,-3.685,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-11.508,-11.508,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-18.054,-18.054,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-20.055,-20.055,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-21.424,-21.424,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-10.509,-10.509,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-11.496,-11.496,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-7.68,-7.68,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-5.5,-5.5,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-4.286,-4.286,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-10.421,-10.421,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-20.587,-20.587,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-25.801,-25.801,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-27.47,-27.47,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-26.417,-26.417,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-35.229,-35.229,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-58.579,-58.579,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-83.74,-83.74,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-111.57,-111.57,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-139.047,-139.047,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-145.274,-145.274,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-60.907,-60.907,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-52.028,-52.028,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-40.321,-40.321,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ESP.BCA.us_dollars,Spain – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,1.139,1.139,ESP,BCA,us_dollars,Spain,Current account balance,U.S. dollars
