,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.041,-0.041,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.181,-0.181,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.119,-0.119,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.106,-0.106,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.068,-0.068,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.067,-0.067,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.035,-0.035,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.02,0.02,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,0.067,0.067,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.016,-0.016,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.133,-0.133,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.074,-0.074,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.04,-0.04,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.09,-0.09,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.037,-0.037,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),FJI.BCA.us_dollars,Fiji – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.031,-0.031,FJI,BCA,us_dollars,Fiji,Current account balance,U.S. dollars
