,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,3.245,3.245,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,8.966,8.966,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,3.096,3.096,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,1.142,1.142,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-2.501,-2.501,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.547,-1.547,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-6.304,-6.304,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-12.806,-12.806,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-34.912,-34.912,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-40.911,-40.911,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-36.766,-36.766,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-16.564,-16.564,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-19.726,-19.726,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-15.266,-15.266,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-6.002,-6.002,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-9.077,-9.077,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-8.175,-8.175,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-1.539,-1.539,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-9.226,-9.226,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-42.313,-42.313,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-38.436,-38.436,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-35.105,-35.105,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-38.589,-38.589,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-36.948,-36.948,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-56.468,-56.468,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-50.264,-50.264,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GBR.BCA.us_dollars,United Kingdom – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-77.509,-77.509,GBR,BCA,us_dollars,United Kingdom,Current account balance,U.S. dollars
