,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.054,-0.054,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.508,-0.508,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.19,-0.19,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.227,-0.227,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.203,-0.203,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.256,-0.256,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.185,-0.185,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.205,-0.205,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.179,-0.179,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GHA.BCA.us_dollars,Ghana – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.202,-0.202,GHA,BCA,us_dollars,Ghana,Current account balance,U.S. dollars
