,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.024,-0.024,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.017,-0.017,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.021,-0.021,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.019,-0.019,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.041,-0.041,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.011,-0.011,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.003,0.003,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,NA,,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.123,-0.123,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.344,-0.344,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.144,-0.144,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.398,-0.398,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.218,-0.218,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.352,-0.352,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.817,-0.817,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.117,-1.117,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.188,-0.188,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.454,0.454,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,1.376,1.376,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,1.94,1.94,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,2.181,2.181,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,1.557,1.557,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.468,-1.468,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-3.303,-3.303,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-1.212,-1.212,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-0.252,-0.252,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-0.526,-0.526,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-0.925,-0.925,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GNQ.BCA.us_dollars,Equatorial Guinea – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-2.167,-2.167,GNQ,BCA,us_dollars,Equatorial Guinea,Current account balance,U.S. dollars
