,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.163,-0.163,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.573,-0.573,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.399,-0.399,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.224,-0.224,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.377,-0.377,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.246,-0.246,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.018,-0.018,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.443,-0.443,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.414,-0.414,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.367,-0.367,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.213,-0.213,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.184,-0.184,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.706,-0.706,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.702,-0.702,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.625,-0.625,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.572,-0.572,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.452,-0.452,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.634,-0.634,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-1.039,-1.039,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.026,-1.026,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.05,-1.05,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-1.211,-1.211,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.262,-1.262,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-1.02,-1.02,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-1.165,-1.165,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-1.241,-1.241,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-1.524,-1.524,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-1.786,-1.786,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-1.554,-1.554,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,0.072,0.072,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-0.767,-0.767,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-1.58,-1.58,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-1.847,-1.847,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-2.239,-2.239,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-1.909,-1.909,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-0.774,-0.774,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,0.637,0.637,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,0.804,0.804,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,0.595,0.595,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,1.854,1.854,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,3.874,3.874,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,1.856,1.856,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,1.418,1.418,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,0.998,0.998,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,0.489,0.489,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-0.087,-0.087,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA.us_dollars,Guatemala – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,-0.674,-0.674,GTM,BCA,us_dollars,Guatemala,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-2.116,-2.116,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-6.793,-6.793,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-4.674,-4.674,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-2.526,-2.526,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-4.069,-4.069,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-2.249,-2.249,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-0.297,-0.297,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-6.453,-6.453,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-5.575,-5.575,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-4.288,-4.288,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,-2.841,-2.841,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GTM.BCA_NGDPD.pcent_gdp,Guatemala – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,-2.005,-2.005,GTM,BCA_NGDPD,pcent_gdp,Guatemala,Current account balance,Percent of GDP
