,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.153,-0.153,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.238,-0.238,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.181,-0.181,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.181,-0.181,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.116,-0.116,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.15,-0.15,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.161,-0.161,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.127,-0.127,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.1,-0.1,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.12,-0.12,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.161,-0.161,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.138,-0.138,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.116,-0.116,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.098,-0.098,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.059,-0.059,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.057,-0.057,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.032,-0.032,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.081,-0.081,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.091,-0.091,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.02,-0.02,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.07,-0.07,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.071,-0.071,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.05,-0.05,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.045,-0.045,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.019,-0.019,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.098,-0.098,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-0.164,-0.164,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-0.131,-0.131,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-0.232,-0.232,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),GUY.BCA.us_dollars,Guyana – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-0.146,-0.146,GUY,BCA,us_dollars,Guyana,Current account balance,U.S. dollars
