,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.432,-1.432,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.774,-0.774,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.176,-0.176,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,0.168,0.168,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,2.293,2.293,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,2.612,2.612,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,2.652,2.652,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,3.879,3.879,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,3.843,3.843,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HKG.BCA.us_dollars,Hong Kong SAR – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,6.298,6.298,HKG,BCA,us_dollars,Hong Kong SAR,Current account balance,U.S. dollars
