,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,NA,,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,0.314,0.314,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.621,0.621,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.684,0.684,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.306,-1.306,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.942,-0.942,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-2.487,-2.487,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-1.463,-1.463,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.489,-1.489,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.311,-0.311,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.502,-0.502,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.701,-1.701,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HRV.BCA.us_dollars,Croatia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-3.143,-3.143,HRV,BCA,us_dollars,Croatia,Current account balance,U.S. dollars
