,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.102,-1.102,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-1.369,-1.369,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.531,-0.531,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.181,-0.181,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.039,0.039,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.455,-0.455,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.365,-1.365,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.676,-0.676,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.572,-0.572,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.588,-0.588,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,0.289,0.289,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.247,-1.247,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.773,-0.773,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-4.876,-4.876,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-5.076,-5.076,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.622,-1.622,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-1.787,-1.787,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-1.92,-1.92,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-3.442,-3.442,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-3.872,-3.872,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-4.015,-4.015,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-3.131,-3.131,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-4.289,-4.289,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-6.811,-6.811,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-8.88,-8.88,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-8.138,-8.138,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-8.624,-8.624,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-10.334,-10.334,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-11.488,-11.488,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.044,-1.044,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,0.256,0.256,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,0.661,0.661,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,1.993,1.993,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,4.699,4.699,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,1.701,1.701,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,2.938,2.938,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,5.765,5.765,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,2.811,2.811,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,0.445,0.445,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-0.406,-0.406,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-0.296,-0.296,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,-0.706,-0.706,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,-0.579,-0.579,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,-0.483,-0.483,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-0.532,-0.532,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-0.232,-0.232,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA.us_dollars,Hungary – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,-0.562,-0.562,HUN,BCA,us_dollars,Hungary,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-4.782,-4.782,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-5.794,-5.794,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-2.206,-2.206,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-0.829,-0.829,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,0.184,0.184,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-2.122,-2.122,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-5.527,-5.527,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-2.49,-2.49,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-1.926,-1.926,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-1.939,-1.939,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,0.842,0.842,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,-3.589,-3.589,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,-1.995,-1.995,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),HUN.BCA_NGDPD.pcent_gdp,Hungary – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,-12.152,-12.152,HUN,BCA_NGDPD,pcent_gdp,Hungary,Current account balance,Percent of GDP
