,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-2.262,-2.262,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-2.58,-2.58,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-1.872,-1.872,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-1.155,-1.155,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.027,-1.027,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.692,-0.692,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.82,-0.82,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.088,-0.088,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,0.094,0.094,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.494,-0.494,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.372,-0.372,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,0.34,0.34,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,0.545,0.545,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,1.83,1.83,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,1.496,1.496,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,1.716,1.716,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,2.025,2.025,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,1.947,1.947,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,0.328,0.328,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.114,-0.114,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,0.615,0.615,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.195,0.195,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,0.317,0.317,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.81,0.81,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.19,-0.19,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-7.505,-7.505,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-12.43,-12.43,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-17.587,-17.587,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-17.227,-17.227,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-11.022,-11.022,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-2.659,-2.659,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-3.91,-3.91,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-7.629,-7.629,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,3.703,3.703,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,2.783,2.783,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,12.823,12.823,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-12.586,-12.586,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,1.648,1.648,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,23.176,23.176,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-45.237,-45.237,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,19.314,19.314,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,33.256,33.256,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,35.324,35.324,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,36.167,36.167,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,36.283,36.283,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,37.211,37.211,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA.us_dollars,Ireland – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,37.6,37.6,IRL,BCA,us_dollars,Ireland,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-10.579,-10.579,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-12.657,-12.657,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-8.8,-8.8,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-5.614,-5.614,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-5.174,-5.174,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-3.278,-3.278,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-2.881,-2.881,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-0.262,-0.262,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,0.255,0.255,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRL.BCA_NGDPD.pcent_gdp,Ireland – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-1.302,-1.302,IRL,BCA_NGDPD,pcent_gdp,Ireland,Current account balance,Percent of GDP
