,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-3.555,-3.555,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-4.328,-4.328,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,4.913,4.913,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.44,-0.44,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.957,-0.957,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.936,-0.936,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-5.668,-5.668,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-2.699,-2.699,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-2.123,-2.123,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-2.972,-2.972,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-2.7,-2.7,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-11.2,-11.2,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-7.3,-7.3,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-4.2,-4.2,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,5.0,5.0,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,3.358,3.358,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,5.232,5.232,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),IRN.BCA.us_dollars,Islamic Republic of Iran – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,2.213,2.213,IRN,BCA,us_dollars,Islamic Republic of Iran,Current account balance,U.S. dollars
