,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.069,-0.069,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.145,-0.145,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.256,-0.256,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.053,-0.053,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.13,-0.13,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.116,-0.116,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.021,0.021,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.184,-0.184,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.208,-0.208,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.076,-0.076,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.132,-0.132,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISL.BCA.us_dollars,Iceland – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.272,-0.272,ISL,BCA,us_dollars,Iceland,Current account balance,U.S. dollars
