,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.879,-0.879,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-1.364,-1.364,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-2.258,-2.258,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-2.369,-2.369,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.573,-1.573,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.991,0.991,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,1.28,1.28,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.406,-1.406,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.832,-0.832,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,0.214,0.214,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ISR.BCA.us_dollars,Israel – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,0.169,0.169,ISR,BCA,us_dollars,Israel,Current account balance,U.S. dollars
