,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-16.95,-16.95,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-15.431,-15.431,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-10.254,-10.254,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,1.366,1.366,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-4.026,-4.026,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-5.567,-5.567,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,2.756,2.756,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-2.92,-2.92,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-8.053,-8.053,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-15.031,-15.031,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-21.692,-21.692,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-29.946,-29.946,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-34.125,-34.125,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,11.908,11.908,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,12.647,12.647,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ITA.BCA.us_dollars,Italy – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,24.415,24.415,ITA,BCA,us_dollars,Italy,Current account balance,U.S. dollars
