,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.117,-0.117,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.434,-0.434,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.539,-0.539,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.299,-0.299,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.245,-0.245,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.254,-0.254,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.083,-0.083,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.141,-0.141,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.061,-0.061,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.324,-0.324,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.334,-0.334,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.17,-0.17,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.078,-0.078,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.085,-0.085,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.02,-0.02,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.09,-0.09,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.102,-0.102,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.313,-0.313,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.261,-0.261,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.293,-0.293,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.359,-0.359,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.643,-0.643,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.033,-1.033,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.7,-0.7,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.642,-0.642,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-1.073,-1.073,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-1.183,-1.183,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-2.03,-2.03,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-2.794,-2.794,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.128,-1.128,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-0.935,-0.935,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-1.965,-1.965,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-1.44,-1.44,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-1.357,-1.357,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-1.114,-1.114,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-0.43,-0.43,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-0.043,-0.043,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-0.396,-0.396,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-0.244,-0.244,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JAM.BCA.us_dollars,Jamaica – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-0.319,-0.319,JAM,BCA,us_dollars,Jamaica,Current account balance,U.S. dollars
