,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-10.75,-10.75,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,4.761,4.761,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,6.847,6.847,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,20.804,20.804,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,35.009,35.009,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,50.18,50.18,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,84.522,84.522,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,84.253,84.253,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,79.173,79.173,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,63.142,63.142,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,44.709,44.709,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,68.116,68.116,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,112.394,112.394,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,131.918,131.918,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,130.543,130.543,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,110.422,110.422,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,68.937,68.937,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,95.154,95.154,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,115.094,115.094,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,114.243,114.243,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,130.654,130.654,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,86.186,86.186,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,109.125,109.125,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,139.413,139.413,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,182.051,182.051,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,170.135,170.135,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,174.535,174.535,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,212.138,212.138,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,142.601,142.601,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,145.25,145.25,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,220.985,220.985,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,129.834,129.834,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,59.703,59.703,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,45.944,45.944,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,36.794,36.794,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,136.437,136.437,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,197.922,197.922,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,203.49,203.49,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,176.864,176.864,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,188.056,188.056,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,165.823,165.823,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,195.026,195.026,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,181.029,181.029,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,196.013,196.013,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,206.666,206.666,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,211.217,211.217,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA.us_dollars,Japan – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,212.048,212.048,JPN,BCA,us_dollars,Japan,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA_NGDPD.pcent_gdp,Japan – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-0.953,-0.953,JPN,BCA_NGDPD,pcent_gdp,Japan,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA_NGDPD.pcent_gdp,Japan – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,0.383,0.383,JPN,BCA_NGDPD,pcent_gdp,Japan,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA_NGDPD.pcent_gdp,Japan – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,0.591,0.591,JPN,BCA_NGDPD,pcent_gdp,Japan,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),JPN.BCA_NGDPD.pcent_gdp,Japan – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,1.64,1.64,JPN,BCA_NGDPD,pcent_gdp,Japan,Current account balance,Percent of GDP
