,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.876,-0.876,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.562,-0.562,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.305,-0.305,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.047,-0.047,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.127,-0.127,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.115,-0.115,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.045,-0.045,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.502,-0.502,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.471,-0.471,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.59,-0.59,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.705,-0.705,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.288,-0.288,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.357,-0.357,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.898,0.898,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.729,0.729,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.283,-0.283,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,0.066,0.066,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.063,0.063,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,0.281,0.281,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,1.058,1.058,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.199,-0.199,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.32,-0.32,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.118,-0.118,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,0.132,0.132,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.132,-0.132,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.275,-0.275,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-0.501,-0.501,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-1.058,-1.058,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-1.961,-1.961,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.633,-1.633,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KEN.BCA.us_dollars,Kenya – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-2.37,-2.37,KEN,BCA,us_dollars,Kenya,Current account balance,U.S. dollars
