,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-6.896,-6.896,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-6.487,-6.487,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-5.631,-5.631,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-3.594,-3.594,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.847,-1.847,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-2.178,-2.178,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,2.607,2.607,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,8.631,8.631,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,12.758,12.758,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,3.766,3.766,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-2.804,-2.804,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-8.033,-8.033,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-2.901,-2.901,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,1.688,1.688,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-4.793,-4.793,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-10.23,-10.23,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-24.461,-24.461,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-10.812,-10.812,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,40.113,40.113,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,21.785,21.785,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,10.181,10.181,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,2.165,2.165,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,4.066,4.066,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,11.308,11.308,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,29.29,29.29,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,12.209,12.209,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,2.095,2.095,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,10.473,10.473,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,1.753,1.753,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,33.088,33.088,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,27.951,27.951,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,16.638,16.638,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,48.791,48.791,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,77.259,77.259,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,83.03,83.03,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KOR.BCA.us_dollars,Korea – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,105.119,105.119,KOR,BCA,us_dollars,Korea,Current account balance,U.S. dollars
