,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,15.302,15.302,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,13.778,13.778,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,4.873,4.873,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,5.654,5.654,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,7.004,7.004,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,4.961,4.961,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,5.67,5.67,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,4.395,4.395,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,5.093,5.093,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,9.621,9.621,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,3.72,3.72,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-26.22,-26.22,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.451,-0.451,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,2.502,2.502,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,3.219,3.219,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,5.016,5.016,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,7.107,7.107,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,7.873,7.873,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,2.215,2.215,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,5.064,5.064,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,14.67,14.67,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,8.327,8.327,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,4.265,4.265,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,9.423,9.423,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,15.596,15.596,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,30.069,30.069,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,45.311,45.311,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,42.188,42.188,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,60.245,60.245,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),KWT.BCA.us_dollars,Kuwait – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,28.289,28.289,KWT,BCA,us_dollars,Kuwait,Current account balance,U.S. dollars
