,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.848,-0.848,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.672,-0.672,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.794,-0.794,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.47,-0.47,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.054,-0.054,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.422,-0.422,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.564,-0.564,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.496,-0.496,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.665,-0.665,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.578,-0.578,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.377,-0.377,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.62,-0.62,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.554,-0.554,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.61,-0.61,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.981,-0.981,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.985,-0.985,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.881,-0.881,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.531,-0.531,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.353,-0.353,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.672,-0.672,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.066,-1.066,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.179,-0.179,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.236,-0.236,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.074,-0.074,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.648,-0.648,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.605,-0.605,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-1.5,-1.5,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-1.401,-1.401,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-3.885,-3.885,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-0.215,-0.215,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-1.075,-1.075,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-4.615,-4.615,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-3.981,-3.981,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-2.539,-2.539,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-1.988,-1.988,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-1.882,-1.882,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-1.744,-1.744,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-2.309,-2.309,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-2.784,-2.784,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-1.808,-1.808,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-1.123,-1.123,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,-1.947,-1.947,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,-1.932,-1.932,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,-1.685,-1.685,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),LKA.BCA.us_dollars,Sri Lanka – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-1.657,-1.657,LKA,BCA,us_dollars,Sri Lanka,Current account balance,U.S. dollars
