,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.884,-0.884,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-1.136,-1.136,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.974,-0.974,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.991,-0.991,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.883,-0.883,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.261,-1.261,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.238,-1.238,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.538,-1.538,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,0.104,0.104,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.005,-1.005,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.714,-0.714,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.818,-0.818,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.873,-0.873,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.84,-0.84,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.194,-1.194,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.866,-1.866,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.654,-0.654,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.802,-0.802,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.925,-0.925,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.007,-1.007,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.434,-1.434,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.797,0.797,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MAR.BCA.us_dollars,Morocco – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,0.412,0.412,MAR,BCA,us_dollars,Morocco,Current account balance,U.S. dollars
