,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.556,-0.556,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.363,-0.363,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.299,-0.299,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.247,-0.247,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.193,-0.193,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.184,-0.184,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.143,-0.143,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.141,-0.141,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.15,-0.15,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.084,-0.084,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.265,-0.265,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.23,-0.23,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.198,-0.198,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.258,-0.258,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.277,-0.277,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.276,-0.276,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.153,-0.153,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.202,-0.202,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.289,-0.289,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.225,-0.225,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.26,-0.26,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MDG.BCA.us_dollars,Madagascar – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.14,-0.14,MDG,BCA,us_dollars,Madagascar,Current account balance,U.S. dollars
