,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.124,-0.124,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.14,-0.14,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.115,-0.115,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.103,-0.103,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.119,-0.119,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.21,-0.21,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.254,-0.254,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.214,-0.214,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.241,-0.241,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,0.022,0.022,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.03,-0.03,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,0.041,0.041,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.008,-0.008,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.016,0.016,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.09,-0.09,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.102,-0.102,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.243,-0.243,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.18,-0.18,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.181,-0.181,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.217,-0.217,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.257,-0.257,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.307,-0.307,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.08,-0.08,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.278,-0.278,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.375,-0.375,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.445,-0.445,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-0.225,-0.225,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-0.454,-0.454,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-1.337,-1.337,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.118,-1.118,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-1.147,-1.147,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-0.657,-0.657,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-0.273,-0.273,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-0.382,-0.382,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-0.676,-0.676,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-0.698,-0.698,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-1.015,-1.015,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-1.119,-1.119,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MLI.BCA.us_dollars,Mali – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-0.837,-0.837,MLI,BCA,us_dollars,Mali,Current account balance,U.S. dollars
