,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.095,-0.095,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.038,-0.038,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.031,0.031,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.038,0.038,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,0.026,0.026,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.037,-0.037,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.074,0.074,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.076,-0.076,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.06,-0.06,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.07,-0.07,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.062,-0.062,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.105,-0.105,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.099,-0.099,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.063,0.063,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,0.088,0.088,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,0.372,0.372,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,0.172,0.172,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-0.69,-0.69,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-0.342,-0.342,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MNG.BCA.us_dollars,Mongolia – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-0.885,-0.885,MNG,BCA,us_dollars,Mongolia,Current account balance,U.S. dollars
