,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.26,-0.26,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.146,-0.146,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.112,-0.112,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.131,-0.131,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.042,-0.042,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.126,-0.126,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.085,-0.085,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.061,-0.061,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.087,-0.087,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),MWI.BCA.us_dollars,Malawi – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.051,-0.051,MWI,BCA,us_dollars,Malawi,Current account balance,U.S. dollars
