,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,5.178,5.178,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-6.474,-6.474,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-7.282,-7.282,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-4.332,-4.332,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.123,0.123,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,2.604,2.604,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.211,0.211,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.073,-0.073,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.296,-0.296,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,1.09,1.09,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,4.988,4.988,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,1.203,1.203,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NGA.BCA.us_dollars,Nigeria – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,2.268,2.268,NGA,BCA,us_dollars,Nigeria,Current account balance,U.S. dollars
