,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,1.079,1.079,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,2.17,2.17,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,0.524,0.524,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,2.436,2.436,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,3.266,3.266,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,3.024,3.024,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-4.704,-4.704,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-4.369,-4.369,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-4.029,-4.029,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.108,-0.108,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,2.806,2.806,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,4.196,4.196,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,4.267,4.267,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,3.321,3.321,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,3.54,3.54,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,5.011,5.011,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,10.717,10.717,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,9.691,9.691,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.752,-0.752,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,8.556,8.556,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,24.879,24.879,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,27.145,27.145,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,23.743,23.743,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,27.114,27.114,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,32.444,32.444,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,49.496,49.496,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,55.722,55.722,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,48.111,48.111,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,71.285,71.285,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,40.824,40.824,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NOR.BCA.us_dollars,Norway – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,46.487,46.487,NOR,BCA,us_dollars,Norway,Current account balance,U.S. dollars
