,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,NA,,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,0.02,0.02,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,0.028,0.028,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,0.023,0.023,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,0.019,0.019,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,0.035,0.035,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,0.049,0.049,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,0.027,0.027,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-0.019,-0.019,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,0.002,0.002,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,0.014,0.014,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-0.006,-0.006,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,0.013,0.013,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,0.005,0.005,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,0.014,0.014,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,0.003,0.003,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,0.001,0.001,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-0.001,-0.001,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-0.001,-0.001,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA.us_dollars,Nauru – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,0.001,0.001,NRU,BCA,us_dollars,Nauru,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1994,1994-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1995,1995-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1996,1996-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1997,1997-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1998,1998-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,1999,1999-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2000,2000-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2001,2001-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2002,2002-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2003,2003-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2004,2004-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2005,2005-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2006,2006-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2007,2007-01-01,NA,,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2008,2008-01-01,53.408,53.408,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2009,2009-01-01,64.468,64.468,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2010,2010-01-01,48.013,48.013,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2011,2011-01-01,28.71,28.71,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2012,2012-01-01,35.653,35.653,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2013,2013-01-01,49.453,49.453,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2014,2014-01-01,25.229,25.229,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2015,2015-01-01,-21.312,-21.312,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2016,2016-01-01,2.034,2.034,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2017,2017-01-01,12.666,12.666,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2018,2018-01-01,-4.585,-4.585,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2019,2019-01-01,10.587,10.587,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2020,2020-01-01,4.156,4.156,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NRU.BCA_NGDPD.pcent_gdp,Nauru – Current account balance (BCA_NGDPD) – Percent of GDP,2021,2021-01-01,10.539,10.539,NRU,BCA_NGDPD,pcent_gdp,Nauru,Current account balance,Percent of GDP
