,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.903,-0.903,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-1.156,-1.156,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-1.71,-1.71,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.978,-0.978,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.978,-1.978,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.491,-1.491,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.54,-1.54,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.486,-1.486,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.15,-0.15,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.326,-1.326,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-1.307,-1.307,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.04,-1.04,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.526,-1.526,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-1.485,-1.485,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.669,-1.669,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-2.46,-2.46,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-3.262,-3.262,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-3.584,-3.584,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-1.58,-1.58,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-2.946,-2.946,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.809,-1.809,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.437,-0.437,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.32,-1.32,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-2.046,-2.046,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-4.668,-4.668,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-8.089,-8.089,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-7.889,-7.889,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-9.243,-9.243,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-10.508,-10.508,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-2.65,-2.65,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-3.327,-3.327,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-4.671,-4.671,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-6.885,-6.885,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-5.934,-5.934,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-6.28,-6.28,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-5.082,-5.082,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),NZL.BCA.us_dollars,New Zealand – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-4.115,-4.115,NZL,BCA,us_dollars,New Zealand,Current account balance,U.S. dollars
