,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.915,-0.915,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.85,-0.85,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.374,-0.374,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.568,-0.568,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.12,-1.12,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.848,-0.848,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.593,-0.593,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.985,-0.985,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-1.374,-1.374,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.493,-1.493,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-1.378,-1.378,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.723,-1.723,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.066,-1.066,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-3.354,-3.354,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-1.66,-1.66,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-2.168,-2.168,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-4.172,-4.172,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-3.598,-3.598,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-1.704,-1.704,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.856,-1.856,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.215,-0.215,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.324,0.324,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PAK.BCA.us_dollars,Pakistan – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,2.833,2.833,PAK,BCA,us_dollars,Pakistan,Current account balance,U.S. dollars
