,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.045,-1.045,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-2.36,-2.36,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-2.218,-2.218,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-1.291,-1.291,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.269,-0.269,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.051,0.051,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.371,-1.371,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.795,-1.795,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-1.793,-1.793,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.219,-0.219,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-1.458,-1.458,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.517,-1.517,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.916,-1.916,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-2.463,-2.463,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-2.698,-2.698,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-4.623,-4.623,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-3.645,-3.645,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-3.367,-3.367,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-3.339,-3.339,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.38,-1.38,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-1.545,-1.545,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-1.198,-1.198,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-1.096,-1.096,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.931,-0.931,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,0.065,0.065,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,1.162,1.162,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,2.915,2.915,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,1.522,1.522,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-5.286,-5.286,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-0.633,-0.633,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-3.562,-3.562,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-3.376,-3.376,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-6.087,-6.087,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-10.379,-10.379,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PER.BCA.us_dollars,Peru – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-9.083,-9.083,PER,BCA,us_dollars,Peru,Current account balance,U.S. dollars
