,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.904,-1.904,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-2.061,-2.061,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-3.2,-3.2,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-2.771,-2.771,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-1.294,-1.294,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.036,-0.036,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.952,0.952,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.444,-0.444,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.39,-0.39,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-1.456,-1.456,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-2.695,-2.695,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.034,-1.034,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.0,-1.0,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-3.016,-3.016,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-2.95,-2.95,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.98,-1.98,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-3.953,-3.953,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-4.351,-4.351,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,1.546,1.546,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PHL.BCA.us_dollars,Philippines – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-2.875,-2.875,PHL,BCA,us_dollars,Philippines,Current account balance,U.S. dollars
