,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-1.064,-1.064,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-4.686,-4.686,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-3.258,-3.258,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-1.632,-1.632,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.623,-0.623,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.38,0.38,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,1.166,1.166,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.435,0.435,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-1.066,-1.066,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,0.153,0.153,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.181,-0.181,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.716,-0.716,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.184,-0.184,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.233,0.233,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-2.196,-2.196,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.132,-0.132,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-5.508,-5.508,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-7.164,-7.164,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-9.37,-9.37,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-11.317,-11.317,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-12.812,-12.812,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-12.706,-12.706,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-11.292,-11.292,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-10.959,-10.959,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),PRT.BCA.us_dollars,Portugal – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-15.062,-15.062,PRT,BCA,us_dollars,Portugal,Current account balance,U.S. dollars
