,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-2.394,-2.394,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.826,-0.826,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,1.047,1.047,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,1.166,1.166,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,1.725,1.725,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,1.382,1.382,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,1.397,1.397,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,2.044,2.044,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,3.927,3.927,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,2.514,2.514,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-1.758,-1.758,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-1.251,-1.251,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.685,-1.685,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-1.176,-1.176,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.5,-0.5,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-1.584,-1.584,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-2.35,-2.35,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-1.907,-1.907,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-2.892,-2.892,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-1.446,-1.446,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),ROU.BCA.us_dollars,Romania – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.972,-0.972,ROU,BCA,us_dollars,Romania,Current account balance,U.S. dollars
