,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,NA,,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-1.2,-1.2,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,2.6,2.6,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,8.942,8.942,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,7.438,7.438,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,10.103,10.103,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.835,-0.835,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,0.071,0.071,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,22.855,22.855,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,45.382,45.382,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,32.054,32.054,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,27.473,27.473,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,33.128,33.128,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,58.56,58.56,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,84.389,84.389,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,92.316,92.316,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,72.193,72.193,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,103.935,103.935,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,50.384,50.384,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,67.452,67.452,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,97.274,97.274,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,71.282,71.282,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),RUS.BCA.us_dollars,Russia – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,33.428,33.428,RUS,BCA,us_dollars,Russia,Current account balance,U.S. dollars
