,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,41.503,41.503,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,39.627,39.627,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,7.575,7.575,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-16.852,-16.852,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-18.401,-18.401,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-12.932,-12.932,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-11.785,-11.785,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-9.76,-9.76,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-7.331,-7.331,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-9.525,-9.525,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-4.147,-4.147,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-27.509,-27.509,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-17.717,-17.717,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-17.245,-17.245,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-10.473,-10.473,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-5.318,-5.318,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,0.679,0.679,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.305,0.305,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-13.132,-13.132,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,0.411,0.411,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,14.317,14.317,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,9.353,9.353,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,11.873,11.873,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,28.048,28.048,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,51.926,51.926,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,89.99,89.99,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,98.934,98.934,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,93.329,93.329,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,132.322,132.322,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,20.955,20.955,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,66.751,66.751,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,158.582,158.582,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,164.764,164.764,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,135.442,135.442,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,73.758,73.758,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-56.724,-56.724,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-23.843,-23.843,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,10.464,10.464,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,71.972,71.972,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,38.23,38.23,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-14.956,-14.956,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,22.854,22.854,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,15.935,15.935,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,4.622,4.622,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-1.488,-1.488,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-9.334,-9.334,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA.us_dollars,Saudi Arabia – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,-12.192,-12.192,SAU,BCA,us_dollars,Saudi Arabia,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,25.224,25.224,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,21.503,21.503,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,4.944,4.944,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-13.045,-13.045,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-15.381,-15.381,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-12.447,-12.447,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-13.564,-13.564,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-11.404,-11.404,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-8.317,-8.317,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-10.004,-10.004,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,-3.53,-3.53,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,-20.833,-20.833,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,-12.941,-12.941,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,-12.986,-12.986,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1994,1994-01-01,-7.758,-7.758,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1995,1995-01-01,-3.715,-3.715,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1996,1996-01-01,0.429,0.429,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1997,1997-01-01,0.184,0.184,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1998,1998-01-01,-8.947,-8.947,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,1999,1999-01-01,0.254,0.254,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,2000,2000-01-01,7.554,7.554,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,2001,2001-01-01,5.08,5.08,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SAU.BCA_NGDPD.pcent_gdp,Saudi Arabia – Current account balance (BCA_NGDPD) – Percent of GDP,2002,2002-01-01,6.262,6.262,SAU,BCA_NGDPD,pcent_gdp,Saudi Arabia,Current account balance,Percent of GDP
