,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,0.202,0.202,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.122,-0.122,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.051,-0.051,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,0.06,0.06,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.041,-0.041,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.029,-0.029,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.117,0.117,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.136,0.136,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,0.026,0.026,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.194,-0.194,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.152,-0.152,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.167,-0.167,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.109,-0.109,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.082,-0.082,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.018,-0.018,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.262,-0.262,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SLV.BCA.us_dollars,El Salvador – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.169,-0.169,SLV,BCA,us_dollars,El Salvador,Current account balance,U.S. dollars
