,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,NA,,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.469,-0.469,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.455,-0.455,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.178,-0.178,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.253,0.253,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.636,-0.636,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-1.527,-1.527,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-3.262,-3.262,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-2.202,-2.202,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-2.96,-2.96,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-6.958,-6.958,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-10.349,-10.349,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-2.66,-2.66,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-2.486,-2.486,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-3.995,-3.995,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-4.674,-4.674,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-2.778,-2.778,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-2.632,-2.632,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-1.369,-1.369,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-1.189,-1.189,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-2.311,-2.311,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SRB.BCA.us_dollars,Serbia – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-2.451,-2.451,SRB,BCA,us_dollars,Serbia,Current account balance,U.S. dollars
