,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,NA,,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,1.087,1.087,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,0.282,0.282,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,0.565,0.565,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.097,-0.097,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SVN.BCA.us_dollars,Slovenia – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,0.015,0.015,SVN,BCA,us_dollars,Slovenia,Current account balance,U.S. dollars
