,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-4.331,-4.331,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-2.778,-2.778,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-3.422,-3.422,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.743,-0.743,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.725,0.725,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.162,-1.162,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.927,0.927,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,0.284,0.284,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.49,-0.49,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-3.102,-3.102,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-6.268,-6.268,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-4.696,-4.696,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-7.469,-7.469,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-2.659,-2.659,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,2.294,2.294,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,8.355,8.355,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,9.514,9.514,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,10.19,10.19,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,9.484,9.484,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,10.469,10.469,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,10.019,10.019,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,11.163,11.163,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,11.636,11.636,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,19.403,19.403,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,22.833,22.833,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,23.337,23.337,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,34.168,34.168,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,39.549,39.549,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,39.917,39.917,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,25.752,25.752,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SWE.BCA.us_dollars,Sweden – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,28.942,28.942,SWE,BCA,us_dollars,Sweden,Current account balance,U.S. dollars
