,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.635,-0.635,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.466,-0.466,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.252,-0.252,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.807,-0.807,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.797,-0.797,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.859,-0.859,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.504,-0.504,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.298,-0.298,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.131,-0.131,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,1.222,1.222,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,1.748,1.748,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,1.685,1.685,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,0.542,0.542,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.242,-0.242,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.852,-0.852,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,0.207,0.207,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.041,-0.041,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,0.412,0.412,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,0.13,0.13,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,0.303,0.303,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,1.036,1.036,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,0.83,0.83,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,1.12,1.12,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-1.663,-1.663,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.781,-0.781,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.648,-0.648,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,0.48,0.48,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-0.095,-0.095,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-0.673,-0.673,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-1.584,-1.584,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-1.707,-1.707,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA.us_dollars,Syria – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,NA,,SYR,BCA,us_dollars,Syria,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-4.892,-4.892,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-2.8,-2.8,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-1.446,-1.446,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-4.327,-4.327,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-4.157,-4.157,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-4.056,-4.056,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-1.982,-1.982,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-0.917,-0.917,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-0.792,-0.792,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,12.408,12.408,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,14.209,14.209,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,13.231,13.231,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,4.089,4.089,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,-1.756,-1.756,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1994,1994-01-01,-5.642,-5.642,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1995,1995-01-01,1.253,1.253,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),SYR.BCA_NGDPD.pcent_gdp,Syria – Current account balance (BCA_NGDPD) – Percent of GDP,1996,1996-01-01,-0.233,-0.233,SYR,BCA_NGDPD,pcent_gdp,Syria,Current account balance,Percent of GDP
