,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-2.076,-2.076,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-2.571,-2.571,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-1.003,-1.003,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-2.873,-2.873,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-2.109,-2.109,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-1.537,-1.537,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,0.247,0.247,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.366,-0.366,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-1.654,-1.654,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-2.498,-2.498,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-7.281,-7.281,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-7.571,-7.571,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-6.303,-6.303,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-6.355,-6.355,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-8.059,-8.059,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-13.582,-13.582,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-14.691,-14.691,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-3.021,-3.021,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,14.242,14.242,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,12.428,12.428,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,9.313,9.313,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,5.101,5.101,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,4.654,4.654,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,4.772,4.772,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,2.759,2.759,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-7.642,-7.642,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,2.315,2.315,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,15.584,15.584,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,0.931,0.931,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,22.189,22.189,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,11.486,11.486,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,9.427,9.427,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-4.899,-4.899,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-8.833,-8.833,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,11.643,11.643,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,27.753,27.753,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,43.438,43.438,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,43.952,43.952,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,28.423,28.423,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,38.206,38.206,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,16.539,16.539,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,2.45,2.45,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,15.291,15.291,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,19.265,19.265,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,23.306,23.306,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,23.673,23.673,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA.us_dollars,Thailand – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,22.771,22.771,THA,BCA,us_dollars,Thailand,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,-6.212,-6.212,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,-7.142,-7.142,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-2.654,-2.654,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-6.946,-6.946,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-4.883,-4.883,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-3.826,-3.826,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,0.555,0.555,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-0.702,-0.702,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-2.597,-2.597,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-3.347,-3.347,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,-8.23,-8.23,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,-7.478,-7.478,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,-5.454,-5.454,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,-4.931,-4.931,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1994,1994-01-01,-5.494,-5.494,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1995,1995-01-01,-8.023,-8.023,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1996,1996-01-01,-8.027,-8.027,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1997,1997-01-01,-2.012,-2.012,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1998,1998-01-01,12.529,12.529,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,1999,1999-01-01,9.821,9.821,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2000,2000-01-01,7.384,7.384,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2001,2001-01-01,4.247,4.247,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2002,2002-01-01,3.469,3.469,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2003,2003-01-01,3.136,3.136,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2004,2004-01-01,1.597,1.597,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2005,2005-01-01,-4.041,-4.041,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2006,2006-01-01,1.045,1.045,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2007,2007-01-01,5.925,5.925,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2008,2008-01-01,0.32,0.32,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2009,2009-01-01,7.885,7.885,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2010,2010-01-01,3.369,3.369,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2011,2011-01-01,2.541,2.541,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2012,2012-01-01,-1.232,-1.232,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2013,2013-01-01,-2.101,-2.101,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2014,2014-01-01,2.858,2.858,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2015,2015-01-01,6.918,6.918,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2016,2016-01-01,10.505,10.505,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2017,2017-01-01,9.628,9.628,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2018,2018-01-01,5.613,5.613,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2019,2019-01-01,7.021,7.021,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2020,2020-01-01,3.295,3.295,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2021,2021-01-01,0.455,0.455,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),THA.BCA_NGDPD.pcent_gdp,Thailand – Current account balance (BCA_NGDPD) – Percent of GDP,2022,2022-01-01,2.646,2.646,THA,BCA_NGDPD,pcent_gdp,Thailand,Current account balance,Percent of GDP
