,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.521,-0.521,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,-0.407,-0.407,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.523,-0.523,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.305,-0.305,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-0.359,-0.359,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-0.375,-0.375,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.321,-0.321,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.407,-0.407,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.357,-0.357,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.335,-0.335,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.559,-0.559,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.737,-0.737,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.714,-0.714,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.895,-0.895,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.637,-0.637,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.59,-0.59,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.413,-0.413,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.436,-0.436,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.704,-0.704,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.777,-0.777,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.397,-0.397,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-0.309,-0.309,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-0.174,-0.174,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-0.16,-0.16,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-0.5,-0.5,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-0.907,-0.907,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-1.343,-1.343,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-1.831,-1.831,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-2.126,-2.126,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-2.179,-2.179,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-2.352,-2.352,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-3.571,-3.571,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),TZA.BCA.us_dollars,Tanzania – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-4.586,-4.586,TZA,BCA,us_dollars,Tanzania,Current account balance,U.S. dollars
