,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,-0.083,-0.083,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,0.025,0.025,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-0.07,-0.07,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-0.072,-0.072,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,0.104,0.104,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,0.005,0.005,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-0.043,-0.043,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-0.112,-0.112,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-0.195,-0.195,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-0.26,-0.26,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-0.263,-0.263,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,-0.17,-0.17,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-0.1,-0.1,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-0.171,-0.171,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-0.174,-0.174,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-0.281,-0.281,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-0.212,-0.212,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-0.316,-0.316,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-0.364,-0.364,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-0.293,-0.293,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),UGA.BCA.us_dollars,Uganda – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-0.359,-0.359,UGA,BCA,us_dollars,Uganda,Current account balance,U.S. dollars
