,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,2.316,2.316,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,5.031,5.031,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-5.533,-5.533,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,-38.695,-38.695,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,-94.342,-94.342,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,-118.159,-118.159,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-147.176,-147.176,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-160.661,-160.661,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-121.159,-121.159,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,-99.485,-99.485,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,-78.965,-78.965,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,2.895,2.895,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-51.614,-51.614,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-84.816,-84.816,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,-121.612,-121.612,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,-113.571,-113.571,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,-124.773,-124.773,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,-140.72,-140.72,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-215.066,-215.066,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,-286.609,-286.609,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
20,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2000,2000-01-01,-401.917,-401.917,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
21,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2001,2001-01-01,-394.085,-394.085,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
22,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2002,2002-01-01,-456.106,-456.106,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
23,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2003,2003-01-01,-522.293,-522.293,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
24,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2004,2004-01-01,-635.891,-635.891,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
25,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2005,2005-01-01,-749.232,-749.232,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
26,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2006,2006-01-01,-816.647,-816.647,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
27,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2007,2007-01-01,-736.549,-736.549,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
28,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2008,2008-01-01,-696.523,-696.523,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
29,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2009,2009-01-01,-379.729,-379.729,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
30,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2010,2010-01-01,-432.01,-432.01,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
31,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2011,2011-01-01,-455.302,-455.302,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
32,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2012,2012-01-01,-418.115,-418.115,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
33,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2013,2013-01-01,-336.854,-336.854,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
34,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2014,2014-01-01,-367.819,-367.819,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
35,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2015,2015-01-01,-407.355,-407.355,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
36,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2016,2016-01-01,-394.865,-394.865,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
37,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2017,2017-01-01,-365.269,-365.269,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
38,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2018,2018-01-01,-449.694,-449.694,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
39,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2019,2019-01-01,-480.225,-480.225,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
40,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2020,2020-01-01,-646.399,-646.399,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
41,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2021,2021-01-01,-876.355,-876.355,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
42,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2022,2022-01-01,-733.779,-733.779,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
43,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2023,2023-01-01,-617.651,-617.651,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
44,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2024,2024-01-01,-577.191,-577.191,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
45,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2025,2025-01-01,-556.251,-556.251,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
46,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA.us_dollars,United States – Current account balance (BCA) – U.S. dollars,2026,2026-01-01,-550.894,-550.894,USA,BCA,us_dollars,United States,Current account balance,U.S. dollars
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1980,1980-01-01,0.081,0.081,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1981,1981-01-01,0.157,0.157,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1982,1982-01-01,-0.165,-0.165,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1983,1983-01-01,-1.065,-1.065,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1984,1984-01-01,-2.337,-2.337,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1985,1985-01-01,-2.723,-2.723,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1986,1986-01-01,-3.214,-3.214,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1987,1987-01-01,-3.309,-3.309,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1988,1988-01-01,-2.314,-2.314,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1989,1989-01-01,-1.763,-1.763,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1990,1990-01-01,-1.324,-1.324,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1991,1991-01-01,0.047,0.047,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1992,1992-01-01,-0.792,-0.792,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1993,1993-01-01,-1.237,-1.237,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),USA.BCA_NGDPD.pcent_gdp,United States – Current account balance (BCA_NGDPD) – Percent of GDP,1994,1994-01-01,-1.669,-1.669,USA,BCA_NGDPD,pcent_gdp,United States,Current account balance,Percent of GDP
