,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,weo-country,weo-subject,unit,WEO Country,WEO Subject,Unit
0,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1980,1980-01-01,5.176,5.176,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
1,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1981,1981-01-01,4.436,4.436,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
2,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1982,1982-01-01,-3.878,-3.878,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
3,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1983,1983-01-01,4.803,4.803,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
4,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1984,1984-01-01,5.045,5.045,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
5,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1985,1985-01-01,3.717,3.717,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
6,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1986,1986-01-01,-1.987,-1.987,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
7,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1987,1987-01-01,-1.39,-1.39,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
8,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1988,1988-01-01,-5.539,-5.539,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
9,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1989,1989-01-01,2.439,2.439,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
10,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1990,1990-01-01,8.452,8.452,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
11,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1991,1991-01-01,1.924,1.924,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
12,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1992,1992-01-01,-3.753,-3.753,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
13,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1993,1993-01-01,-1.993,-1.993,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
14,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1994,1994-01-01,2.623,2.623,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
15,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1995,1995-01-01,2.136,2.136,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
16,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1996,1996-01-01,8.989,8.989,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
17,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1997,1997-01-01,3.732,3.732,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
18,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1998,1998-01-01,-4.432,-4.432,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
19,annual,IMF,WEO:2021-04,WEO by countries (2021-04 release),VEN.BCA.us_dollars,Venezuela – Current account balance (BCA) – U.S. dollars,1999,1999-01-01,2.112,2.112,VEN,BCA,us_dollars,Venezuela,Current account balance,U.S. dollars
